Date,Open,High,Low,Close,Volume
2005-04-01,23.842517852783203,24.006463719532075,22.85883411221434,23.069618225097656,406300
2005-05-01,23.233565624549424,23.51461379505277,22.334209442138672,22.573097229003906,815000
2005-06-01,22.573100303505637,23.111777443753958,22.343565285820798,22.633991241455078,727400
2005-07-01,22.64336247385024,23.41156503095535,22.64336247385024,22.938465118408203,838000
2005-08-01,22.99936726776353,23.912763225926692,22.48409802385514,23.570817947387695,499500
2005-09-01,24.067353699228835,24.798086714159716,23.65514342038134,24.240671157836914,612100
2005-10-01,24.535770614729046,25.013565636120145,24.12824858080307,24.559188842773438,894100
2005-11-01,24.531081032717804,24.657561264291097,23.153939028901608,24.048616409301758,1182700
2005-12-01,24.095448633836952,24.638828526693974,23.795672750252393,24.25940704345703,1312600
2006-01-01,24.456145590510538,25.58166947392156,24.456145590510538,25.283641815185547,810900
2006-02-01,25.86045480385406,26.92757219682731,25.75951294679331,26.884305953979492,1523200
2006-03-01,26.869886208646708,27.13426213493932,26.177711964162416,26.797780990600586,1855000
2006-04-01,27.02850704399187,28.134064094556408,26.600705052001803,27.874492645263672,2019900
2006-05-01,27.927382333924843,29.38863440884711,27.696648322913134,29.33095359802246,1909800
2006-06-01,29.484776332515363,30.4461226878415,27.47554000519577,28.470544815063477,2704000
2006-07-01,28.23980709000645,29.12427092378961,26.12964482391313,28.758939743041992,2601900
2006-08-01,28.730105187569723,29.157917955413208,26.879498796312415,29.056976318359375,1566500
2006-09-01,28.994474834433593,30.200983915447317,28.633966607712047,29.999099731445312,2779000
2006-10-01,30.10484012428468,30.763381904686607,29.129073999693414,30.33557891845703,2661700
2006-11-01,30.335561937086208,31.633395713637984,30.1432951832687,31.455549240112305,3989800
2006-12-01,31.729528908870144,32.71492991753316,31.349793170708416,32.638023376464844,3924600
2007-01-01,32.753371049729324,33.995738398496414,32.373635309376155,33.640384674072266,4977000
2007-02-01,34.09444172367331,34.19315023722304,32.781592582112545,34.1684684753418,6921000
2007-03-01,34.35107906134,35.234549232901,33.07280827680094,33.7440299987793,4603800
2007-04-01,33.0925384817199,35.15063793625922,32.22883688490882,35.00257873535156,4451000
2007-05-01,35.20986721242037,37.34694469169966,35.0173829479496,37.016265869140625,5110400
2007-06-01,37.159388561987654,37.91946788266034,36.46347771431445,37.805946350097656,4922900
2007-07-01,37.9391998629802,38.25507736206055,36.34996380501689,37.67269515991211,4562500
2007-08-01,37.89971625245394,39.296463057235044,35.856422424316406,36.6016845703125,4086800
2007-09-01,36.55726278950669,37.60357529602627,33.196181441351165,36.70038604736328,6262800
2007-10-01,36.424004128742546,38.595619201660156,35.649139556301904,38.595619201660156,3286700
2007-11-01,38.29948548477155,40.51552072503286,37.919462869654865,40.42668533325195,5395900
2007-12-01,39.706117071455346,39.80482217450142,37.09522262487256,38.906558990478516,6789000
2008-01-01,39.58765412153512,39.93314794050459,36.84844297689507,38.10018539428711,6285100
2008-02-01,38.46174319256918,38.46174319256918,30.553489325767366,34.67819595336914,20337000
2008-03-01,35.019394157785655,35.89016662415349,32.41724675415722,34.57636260986328,10401500
2008-04-01,34.56616275112389,35.28927628461724,32.72278948835017,35.02956008911133,6152000
2008-05-01,35.21288813856172,36.96972006061503,35.161964082373274,36.465579986572266,6003500
2008-06-01,36.40957142514611,37.83031269534221,36.27717189577864,36.710025787353516,6983000
2008-07-01,36.32809276130465,36.48597789064246,33.03848577460023,33.41023635864258,5676000
2008-08-01,32.844989444843854,33.2931120187465,30.955769546989398,32.44780349731445,6266800
2008-09-01,32.69731400212811,32.90100169164486,30.314157347752452,31.200206756591797,4810400
2008-10-01,31.22056782802212,31.230752555378434,25.476509043493564,27.177330017089844,10939600
2008-11-01,26.87688147110467,27.27916948663644,17.771944046020508,21.24485969543457,18448300
2008-12-01,21.00552260983851,22.78781127929688,16.55489449371572,19.676443099975586,11490200
2009-01-01,18.841308099744094,21.57585288196686,17.77194453138728,21.09027862548828,14966400
2009-02-01,21.040803272285807,21.7390354188777,17.131731452860027,18.170854568481445,9530800
2009-03-01,17.81348446579227,19.501366755866606,16.08161389701129,16.2850399017334,7693300
2009-04-01,15.79571962466472,18.467745279630606,14.542175805086451,17.538583755493164,9414300
2009-05-01,17.357139266686218,20.177618844684293,17.302159204454025,19.84773826599121,7641000
2009-06-01,20.062160411234128,22.679204940795902,19.853236266693273,22.6792049407959,5045600
2009-07-01,22.90462058531992,23.602857931358326,21.381677540171964,22.14589500427246,9160600
2009-08-01,22.53074847548736,24.71345319223357,20.89234922369319,24.658472061157227,8323400
2009-09-01,25.076324310433804,26.500303696714408,24.114179521218606,26.01099395751953,9353900
2009-10-01,25.620617837431364,28.039744086914453,24.95537823459515,27.2645206451416,9665500
2009-11-01,27.011617903256138,28.82594732029598,26.027480252434806,26.560781478881836,9193300
2009-12-01,26.769697587379365,29.08436039852774,26.302366978318457,27.764841079711914,9527700
2010-01-01,28.314631945689065,28.82595267210116,26.918144208856955,27.69902992248535,9342300
2010-02-01,28.39037675472863,29.093128673303546,25.93357588053962,25.962142944335938,12970500
2010-03-01,26.3906494291834,27.059126895944914,24.45948359062416,25.819290161132812,18854800
2010-04-01,25.710745479167365,27.88187561290074,25.585047803820604,27.499053955078125,16522900
2010-05-01,27.767596819196182,28.664628177910814,26.059256198423075,26.453495025634766,15820000
2010-06-01,26.51062814087654,26.756308697258,21.996969026032826,23.345359802246094,69734700
2010-07-01,23.162519454956055,25.202237931655056,22.25979049702276,22.962556838989258,47698200
2010-08-01,23.333924805590055,26.727732682207428,23.013968148230155,26.2192325592041,28609300
2010-09-01,26.876295393194603,27.390504336938424,24.430917399103482,25.0194091796875,19119700
2010-10-01,25.733593489361198,28.367519991884045,25.670744667584355,27.836164474487305,17111000
2010-11-01,28.236102228729038,29.687330744824553,27.65334332646066,29.195966720581055,16876200
2010-12-01,29.235955867502597,30.521507263183594,26.74488008804674,26.916284561157227,23994200
2011-01-01,27.56191525707994,29.48165163923918,27.47621191543697,29.37554359436035,18223200
2011-02-01,29.363560950842043,30.84161631928006,28.29243199828739,30.458648681640625,25151000
2011-03-01,30.805723268721998,31.547732693100567,30.458636911918372,31.410106658935547,16850700
2011-04-01,31.481906107247262,31.59561222920154,28.346280365138757,31.08696937561035,26524100
2011-05-01,31.164758566233406,33.77976674854521,30.656119792956076,33.672054290771484,22362700
2011-06-01,33.84560156057774,33.92339213936708,30.847599590165824,32.71461486816406,27570800
2011-07-01,32.54108562359659,32.5650199571244,30.015824863193146,32.032432556152344,29312600
2011-08-01,31.942686795613593,32.39747113177255,29.46529947245571,30.56037712097168,46732300
2011-09-01,30.871526362090275,30.895462964427118,25.402156829833984,27.723941802978516,73810600
2011-10-01,27.59230441992385,27.90945660962181,23.206015128756512,24.331010818481445,58757100
2011-11-01,24.031815168602336,29.32168459595216,22.978625710023703,27.352937698364258,50606600
2011-12-01,26.04243211244591,27.592294692993164,23.738588606898507,26.569042205810547,58296400
2012-01-01,26.419437539082516,26.874224242541345,24.576355897242568,25.947711944580078,46452500
