Date,Open,High,Low,Close,Volume
1998-12-01,5.914793661598783,6.027835029109045,5.795642715947109,5.911738872528076,325800
1999-01-01,5.868965962709638,6.009503400049146,5.710097555282369,5.765090465545654,1977600
1999-02-01,5.798698941766877,5.826195779661973,5.517623966718114,5.606224060058594,1005800
1999-03-01,5.56039454507046,5.670380371236689,5.218216419219971,5.218216419219971,824400
1999-04-01,5.2740675320775585,5.870667548634931,5.2740675320775585,5.759958267211914,700000
1999-05-01,5.778411597651042,5.972152524542734,5.716906422321045,5.827615737915039,1815800
1999-06-01,5.809163811055612,6.101312999653335,5.747658639688139,6.030582427978516,1162600
1999-07-01,6.09851378061996,6.2222786391267,5.9221484795474835,6.086137294769287,416200
1999-08-01,6.095419905004309,6.231561263288669,5.603454919813511,5.795290470123291,790600
1999-09-01,5.755067417028694,5.9035852858552404,5.5230086246876855,5.897397041320801,865800
1999-10-01,5.905262636491302,6.061156581488432,5.540471185798468,5.973855972290039,794800
1999-11-01,5.986332506729183,6.06427992517799,5.687015881392724,5.777434825897217,906800
1999-12-01,5.768077820522153,5.9551506147012505,5.552944487816766,5.615302085876465,5268200
2000-01-01,5.811140984542201,5.811140984542201,5.268308003463364,5.55070686340332,3775200
2000-02-01,5.541295046051497,5.544433195243835,4.694098181706138,4.876088619232178,2037200
2000-03-01,5.051805633536494,5.440888800343031,5.004739504451056,5.368720531463623,3271000
2000-04-01,5.38977363785537,5.942975785165505,5.260165801337979,5.762790203094482,2018600
2000-05-01,5.7122124956389655,5.838658806867642,5.4782868198659145,5.750146389007568,4985000
2000-06-01,5.7311779236965155,6.050454389064684,5.494090767081724,5.513057708740234,21522400
2000-07-01,5.688599086687872,5.914741992378749,5.551639923015694,5.640822887420654,7749800
2000-08-01,5.679046415586281,5.975260990598927,5.663120491090028,5.860597133636475,1362600
2000-09-01,5.908372091667659,6.637760985855442,5.866965324350155,6.5804290771484375,7358600
2000-10-01,6.574014578674201,7.0204176902771,6.3331489868373465,7.0204176902771,2450200
2000-11-01,7.046106664539748,7.1007027508192255,6.853414595318059,7.017202854156494,935200
2000-12-01,6.988301796203728,7.075013261505888,6.455186861383039,6.8213019371032715,974400
2001-01-01,6.869314234472342,7.074611576394429,6.269715648541171,6.531974792480469,1946200
2001-02-01,6.559085078013278,6.821865236633465,6.506946088196921,6.667533874511719,1065800
2001-03-01,6.632078527151028,6.686303515392471,5.902132759794644,6.525715351104736,2683600
2001-04-01,6.571946592042799,6.987812711030001,6.288401365239889,6.889096736907959,4302000
2001-05-01,6.931107696657294,7.046625998025355,6.700070693313937,6.937408447265625,1317800
2001-06-01,6.868098578331412,6.910105456727771,6.30730887495861,6.542546272277832,1604200
2001-07-01,6.557589724315531,6.815662868461828,6.20432600367323,6.53009033203125,1467200
2001-08-01,6.494132130050403,6.657013960736839,6.269904481675334,6.2974042892456055,1622200
2001-09-01,6.324902765772565,6.43701657351817,6.005484546848809,6.189520359039307,4214600
2001-10-01,6.226553459722708,6.461035191855918,5.883357865455782,5.908937454223633,3809200
2001-11-01,5.9686244295463275,6.1391563934726845,5.810882261269379,5.8343305587768555,6709200
2001-12-01,5.804487086610116,6.032573737939302,5.678719612340333,5.975019454956055,2656800
2002-01-01,5.99338012837343,6.165233570206221,5.645377635932686,5.804341793060303,3661000
2002-02-01,5.853746432914968,5.873079940150681,5.537966497614553,5.79359769821167,2820600
2002-03-01,5.853745694590304,6.130858990197121,5.843005040693938,6.053524971008301,3382200
2002-04-01,6.041884851303383,6.117679189355913,5.500497312422329,5.732211112976074,3455600
