Date,Open,High,Low,Close,Volume
2000-05-01,6.466706980093426,6.7188288051353116,6.466706980093426,6.707770824432373,723000
2000-06-01,6.785178855927616,7.183266288346661,6.785178855927616,6.867008209228516,21121000
2000-07-01,6.871614434994151,7.341894681205604,6.8185006420699,6.931367874145508,15616000
2000-08-01,6.964564526532353,7.72586407502672,6.895958896716314,7.711479187011719,17356000
2000-09-01,7.767916107151875,7.802219275815344,7.33415199572232,7.611894130706787,32531000
2000-10-01,7.6808095616994585,7.6808095616994585,6.767272555700667,7.379253387451172,18862000
2000-11-01,7.370382817508073,7.5765942989075326,6.716272417060236,6.864833354949951,19237000
2000-12-01,6.8958743422907895,7.627590912373091,6.756183267762563,7.32825231552124,16902000
2001-01-01,7.2923762730940025,7.608134106984532,6.851224526762962,7.486216068267822,20863000
2001-02-01,7.481940528971188,7.5667839637366985,6.9386549300838345,7.0619988441467285,8943000
2001-03-01,7.052730678405896,7.285872663650219,6.171495804349214,6.536538124084473,8182000
2001-04-01,6.56780968370324,7.364492232015718,6.167681743848257,7.291611671447754,8278000
2001-05-01,7.266605473284898,7.8274987028758405,7.114413819759767,7.45237922668457,8352000
2001-06-01,7.473815378288039,7.733183862532484,7.121560005807995,7.41236686706543,7468000
2001-07-01,7.380087613915116,7.399409394579927,7.014411040046068,7.279186725616455,7579000
2001-08-01,7.324985243600943,7.397261745722654,6.989364195063378,7.078815460205078,6121000
2001-09-01,7.068082289655277,7.150377304081121,5.660476931578788,6.200762748718262,4128000
2001-10-01,6.147092252370272,6.68737808142468,6.013272936989208,6.451941967010498,9955000
2001-11-01,6.483632513178773,7.065487697464671,6.422648887075353,6.939933776855469,6220000
2001-12-01,6.912671849635293,7.374712424060715,6.876799000360914,7.257049560546875,11020000
2002-01-01,7.3186439863861175,7.466023300125246,7.063425698893575,7.2762274742126465,7703000
2002-02-01,7.271914008357477,7.368249670554458,6.966371258926667,7.24675178527832,8045000
2002-03-01,7.297074730668741,7.826921792208786,7.266161540454549,7.7607808113098145,10103000
2002-04-01,7.752838134765626,7.98325568760671,7.571384243233424,7.752838134765625,16429000
2002-05-01,7.7550004649394895,7.913412229548153,7.531782888701974,7.611709117889404,11151000
2002-06-01,7.605224363340624,7.605224363340624,6.758438892357281,7.038540363311768,11971000
2002-07-01,7.0569817162041115,7.08295851839801,5.535184892635564,6.378703594207764,15203000
2002-08-01,6.349842697763507,6.748872213485591,5.857007918952668,6.420556545257568,12575000
2002-09-01,6.324588736409919,6.526629020264153,5.765369147398672,5.877213478088379,13480000
2002-10-01,5.89943518139086,6.243696052313058,5.347606503544666,6.146059036254883,11648000
2002-11-01,6.093263408607453,6.556134004950524,5.986947490887396,6.5084004402160645,13571000
2002-12-01,6.610376467928371,6.627733561435448,6.125808352886747,6.228507995605469,71446000
2003-01-01,6.266423244562148,6.501142720608417,5.925935989993545,6.036050796508789,10786000
2003-02-01,6.075173250752705,6.08169379559355,5.669485925934531,5.899858474731445,10565000
2003-03-01,5.918689296450981,6.141093035168082,5.528215158850204,5.944769382476807,12133000
2003-04-01,5.965818438352538,6.404449578464787,5.925876645456852,6.369591236114502,11258000
2003-05-01,6.3761275008633485,6.898999214172363,6.285351195413712,6.898999214172363,8976000
2003-06-01,6.93966304852574,7.225789846515727,6.886649748210492,6.971616744995117,58675000
2003-07-01,6.944151218848172,7.36997184192661,6.904116581767394,7.242589473724365,21434000
2003-08-01,7.2353163052761165,7.583980019455731,6.96017096769549,7.570149898529053,16602000
2003-09-01,7.599258915959417,7.749206223684612,7.396175753054411,7.42893123626709,13665000
2003-10-01,7.487275143861567,8.057831178743116,7.487275143861567,8.033024787902832,18431000
2003-11-01,8.060745550645708,8.317568194268489,7.9746513985757055,8.297139167785645,12519000
2003-12-01,8.350398907379818,8.506536196589908,8.065851020613874,8.394905090332031,18870000
2004-01-01,8.448894778984355,8.855761532645243,8.416638934229299,8.609442710876465,18735000
2004-02-01,8.644629987530791,8.967923894568731,8.521470237437349,8.830835342407227,17325000
2004-03-01,8.87042294068863,9.090350215954363,8.481883262904754,8.8667573928833,35428000
2004-04-01,8.88509294121187,9.08490604848528,8.563333813022277,8.566272735595703,18028000
2004-05-01,8.605941669687352,8.76020953613085,8.187949109095678,8.758740425109863,17982000
2004-06-01,8.767557578907251,8.932844161987305,8.641204197262832,8.932844161987305,23088000
2004-07-01,8.968238354158244,8.968238354158244,8.309241865554338,8.529397964477539,22141000
2004-08-01,8.49479260171311,8.558851375056939,8.086877686207254,8.533817291259766,17279000
2004-09-01,8.511727333412779,8.788578949810717,8.511727333412779,8.750290870666504,20087000
2004-10-01,8.801375173050703,8.979247955206631,8.585861554782785,8.889204025268555,18345000
2004-11-01,8.915779514538464,9.520989491956959,8.865591469641473,9.425042152404785,27715000
2004-12-01,9.473017806554978,9.856809356769059,9.364522553213815,9.76602840423584,22192000
2005-01-01,9.849379172848604,9.8671385532229,9.318060008237477,9.562999725341797,18380000
2005-02-01,9.575576470661032,9.952236133204766,9.5696569140919,9.879715919494629,16346000
